label,class_id,class_name
104,/m/01r546,Earrings
105,/m/01rkbr,Tie
106,/m/01rzcn,Watercraft
107,/m/01s105,Cabinetry
108,/m/01s55n,Suitcase
109,/m/01tcjp,Muffin
110,/m/01vbnl,Bidet
111,/m/01ww8y,Snack
112,/m/01x3jk,Snowmobile
113,/m/01x3z,Clock
114,/m/01xgg_,Medical equipment
115,/m/01xq0k1,Cattle
116,/m/01xqw,Cello
117,/m/01xs3r,Jet ski
118,/m/01x_v,Camel
119,/m/01xygc,Coat
120,/m/01xyhv,Suit
121,/m/01y9k5,Desk
122,/m/01yrx,Cat
123,/m/01yx86,Bronze sculpture
124,/m/01z1kdw,Juice
125,/m/02068x,Gondola
126,/m/020jm,Beetle
127,/m/020kz,Cannon
128,/m/020lf,Computer mouse
129,/m/021mn,Cookie
130,/m/021sj1,Office building
131,/m/0220r2,Fountain
132,/m/0242l,Coin
133,/m/024d2,Calculator
134,/m/024g6,Cocktail
135,/m/02522,Computer monitor
136,/m/025dyy,Box
137,/m/025fsf,Stapler
138,/m/025nd,Christmas tree
139,/m/025rp__,Cowboy hat
140,/m/0268lbt,Hiking equipment
141,/m/026qbn5,Studio couch
142,/m/026t6,Drum
143,/m/0270h,Dessert
144,/m/0271qf7,Wine rack
145,/m/0271t,Drink
146,/m/027pcv,Zucchini
147,/m/027rl48,Ladle
148,/m/0283dt1,Human mouth
149,/m/0284d,Dairy
150,/m/029b3,Dice
151,/m/029bxz,Oven
152,/m/029tx,Dinosaur
153,/m/02bm9n,Ratchet
154,/m/02crq1,Couch
155,/m/02ctlc,Cricket ball
156,/m/02cvgx,Winter melon
157,/m/02d1br,Spatula
158,/m/02d9qx,Whiteboard
159,/m/02ddwp,Pencil sharpener
160,/m/02dgv,Door
161,/m/02dl1y,Hat
162,/m/02f9f_,Shower
163,/m/02fh7f,Eraser
164,/m/02fq_6,Fedora
165,/m/02g30s,Guacamole
166,/m/02gzp,Dagger
167,/m/02h19r,Scarf
168,/m/02hj4,Dolphin
169,/m/02jfl0,Sombrero
170,/m/02jnhm,Tin can
171,/m/02jvh9,Mug
172,/m/02jz0l,Tap
173,/m/02l8p9,Harbor seal
174,/m/02lbcq,Stretcher
175,/m/02mqfb,Can opener
176,/m/02_n6y,Goggles
177,/m/02p0tk3,Human body
178,/m/02p3w7d,Roller skates
179,/m/02p5f1q,Coffee cup
180,/m/02pdsw,Cutting board
181,/m/02pjr4,Blender
182,/m/02pkr5,Plumbing fixture
183,/m/02pv19,Stop sign
184,/m/02rdsp,Office supplies
185,/m/02rgn06,Volleyball
186,/m/02s195,Vase
187,/m/02tsc9,Slow cooker
188,/m/02vkqh8,Wardrobe
189,/m/02vqfm,Coffee
190,/m/02vwcm,Whisk
191,/m/02w3r3,Paper towel
192,/m/02w3_ws,Personal care
193,/m/02wbm,Food
194,/m/02wbtzl,Sun hat
195,/m/02wg_p,Tree house
196,/m/02wmf,Flying disc
197,/m/02wv6h6,Skirt
198,/m/02wv84t,Gas stove
199,/m/02x8cch,Salt and pepper shakers
200,/m/02x984l,Mechanical fan
201,/m/02xb7qb,Face powder
202,/m/02xqq,Fax
203,/m/02xwb,Fruit
204,/m/02y6n,French fries
205,/m/02z51p,Nightstand
206,/m/02zn6n,Barrel
207,/m/02zt3,Kite
208,/m/02zvsm,Tart
209,/m/030610,Treadmill
210,/m/0306r,Fox
211,/m/03120,Flag
212,/m/0319l,Horn
213,/m/031b6r,Window blind
214,/m/031n1,Human foot
215,/m/0323sq,Golf cart
216,/m/032b3c,Jacket
217,/m/033cnk,Egg
218,/m/033rq4,Street light
219,/m/0342h,Guitar
220,/m/034c16,Pillow
221,/m/035r7c,Human leg
222,/m/035vxb,Isopod
223,/m/0388q,Grape
224,/m/039xj_,Human ear
225,/m/03bbps,Power plugs and sockets
226,/m/03bj1,Panda
227,/m/03bk1,Giraffe
228,/m/03bt1vf,Woman
229,/m/03c7gz,Door handle
230,/m/03d443,Rhinoceros
231,/m/03dnzn,Bathtub
232,/m/03fj2,Goldfish
233,/m/03fp41,Houseplant
234,/m/03fwl,Goat
235,/m/03g8mr,Baseball bat
236,/m/03grzl,Baseball glove
237,/m/03hj559,Mixing bowl
238,/m/03hl4l9,Marine invertebrates
239,/m/03hlz0c,Kitchen utensil
240,/m/03jbxj,Light switch
241,/m/03jm5,House
242,/m/03k3r,Horse
243,/m/03kt2w,Stationary bicycle
244,/m/03l9g,Hammer
245,/m/03ldnb,Ceiling fan
246,/m/03m3pdh,Sofa bed
247,/m/03m3vtv,Adhesive tape
248,/m/03m5k,Harp
249,/m/03nfch,Sandal
250,/m/03p3bw,Bicycle helmet
251,/m/03q5c7,Saucer
252,/m/03q5t,Harpsichord
253,/m/03q69,Human hair
254,/m/03qhv5,Heater
255,/m/03qjg,Harmonica
256,/m/03qrc,Hamster
257,/m/03rszm,Curtain
258,/m/03ssj5,Bed
259,/m/03s_tn,Kettle
260,/m/03tw93,Fireplace
261,/m/03txqz,Scale
262,/m/03v5tg,Drinking straw
263,/m/03vt0,Insect
264,/m/03wvsk,Hair dryer
265,/m/03_wxk,Kitchenware
266,/m/03wym,Indoor rower
267,/m/03xxp,Invertebrate
268,/m/03y6mg,Food processor
269,/m/03__z0,Bookcase
270,/m/040b_t,Refrigerator
271,/m/04169hn,Wood-burning stove
272,/m/0420v5,Punching bag
273,/m/043nyj,Common fig
274,/m/0440zs,Cocktail shaker
275,/m/0449p,Jaguar
276,/m/044r5d,Golf ball
277,/m/0463sg,Fashion accessory
278,/m/046dlr,Alarm clock
279,/m/047j0r,Filing cabinet
280,/m/047v4b,Artichoke
281,/m/04bcr3,Table
282,/m/04brg2,Tableware
283,/m/04c0y,Kangaroo
284,/m/04cp_,Koala
285,/m/04ctx,Knife
286,/m/04dr76w,Bottle
287,/m/04f5ws,Bottle opener
288,/m/04g2r,Lynx
289,/m/04gth,Lavender
290,/m/04h7h,Lighthouse
291,/m/04h8sr,Dumbbell
292,/m/04hgtk,Human head
293,/m/04kkgm,Bowl
294,/m/04lvq_,Humidifier
295,/m/04m6gz,Porch
296,/m/04m9y,Lizard
297,/m/04p0qw,Billiard table
298,/m/04rky,Mammal
299,/m/04rmv,Mouse
300,/m/04_sv,Motorcycle
301,/m/04szw,Musical instrument
302,/m/04tn4x,Swim cap
303,/m/04v6l4,Frying pan
304,/m/04vv5k,Snowplow
305,/m/04y4h8h,Bathroom cabinet
306,/m/04ylt,Missile
307,/m/04yqq2,Bust
308,/m/04yx4,Man
309,/m/04z4wx,Waffle iron
310,/m/04zpv,Milk
311,/m/04zwwv,Ring binder
312,/m/050gv4,Plate
313,/m/050k8,Mobile phone
314,/m/052lwg6,Baked goods
315,/m/052sf,Mushroom
316,/m/05441v,Crutch
317,/m/054fyh,Pitcher
318,/m/054_l,Mirror
319,/m/054xkw,Lifejacket
320,/m/05_5p_0,Table tennis racket
321,/m/05676x,Pencil case
322,/m/057cc,Musical keyboard
323,/m/057p5t,Scoreboard
324,/m/0584n8,Briefcase
325,/m/058qzx,Kitchen knife
326,/m/05bm6,Nail
327,/m/05ctyq,Tennis ball
328,/m/05gqfk,Plastic bag
329,/m/05kms,Oboe
330,/m/05kyg_,Chest of drawers
331,/m/05n4y,Ostrich
332,/m/05r5c,Piano
333,/m/05r655,Girl
334,/m/05s2s,Plant
335,/m/05vtc,Potato
336,/m/05w9t9,Hair spray
337,/m/05y5lj,Sports equipment
338,/m/05z55,Pasta
339,/m/05z6w,Penguin
340,/m/05zsy,Pumpkin
341,/m/061_f,Pear
342,/m/061hd_,Infant bed
343,/m/0633h,Polar bear
344,/m/063rgb,Mixer
345,/m/0642b4,Cupboard
346,/m/065h6l,Jacuzzi
347,/m/0663v,Pizza
348,/m/06_72j,Digital clock
349,/m/068zj,Pig
350,/m/06bt6,Reptile
351,/m/06c54,Rifle
352,/m/06c7f7,Lipstick
353,/m/06_fw,Skateboard
354,/m/06j2d,Raven
355,/m/06k2mb,High heels
356,/m/06l9r,Red panda
357,/m/06m11,Rose
358,/m/06mf6,Rabbit
359,/m/06msq,Sculpture
360,/m/06ncr,Saxophone
361,/m/06nrc,Shotgun
362,/m/06nwz,Seafood
363,/m/06pcq,Submarine sandwich
364,/m/06__v,Snowboard
365,/m/06y5r,Sword
366,/m/06z37_,Picture frame
367,/m/07030,Sushi
368,/m/0703r8,Loveseat
369,/m/071p9,Ski
370,/m/071qp,Squirrel
371,/m/073bxn,Tripod
372,/m/073g6,Stethoscope
373,/m/074d1,Submarine
374,/m/0755b,Scorpion
375,/m/076bq,Segway
376,/m/076lb9,Training bench
377,/m/078jl,Snake
378,/m/078n6m,Coffee table
379,/m/079cl,Skyscraper
380,/m/07bgp,Sheep
381,/m/07c52,Television
382,/m/07c6l,Trombone
383,/m/07clx,Tea
384,/m/07cmd,Tank
385,/m/07crc,Taco
386,/m/07cx4,Telephone
387,/m/07dd4,Torch
388,/m/07dm6,Tiger
389,/m/07fbm7,Strawberry
390,/m/07gql,Trumpet
391,/m/07j7r,Tree
392,/m/07j87,Tomato
393,/m/07jdr,Train
394,/m/07k1x,Tool
395,/m/07kng9,Picnic basket
396,/m/07mcwg,Cooking spray
397,/m/07mhn,Trousers
398,/m/07pj7bq,Bowling equipment
399,/m/07qxg_,Football helmet
400,/m/07r04,Truck
401,/m/07v9_z,Measuring cup
402,/m/07xyvk,Coffeemaker
403,/m/07y_7,Violin
404,/m/07yv9,Vehicle
405,/m/080hkjn,Handbag
406,/m/080n7g,Paper cutter
407,/m/081qc,Wine
408,/m/083kb,Weapon
409,/m/083wq,Wheel
410,/m/084hf,Worm
411,/m/084rd,Wok
412,/m/084zz,Whale
413,/m/0898b,Zebra
414,/m/08dz3q,Auto part
415,/m/08hvt4,Jug
416,/m/08ks85,Pizza cutter
417,/m/08p92x,Cream
418,/m/08pbxl,Monkey
419,/m/096mb,Lion
420,/m/09728,Bread
421,/m/099ssp,Platter
422,/m/09b5t,Chicken
423,/m/09csl,Eagle
424,/m/09ct_,Helicopter
425,/m/09d5_,Owl
426,/m/09ddx,Duck
427,/m/09dzg,Turtle
428,/m/09f20,Hippopotamus
429,/m/09f_2,Crocodile
430,/m/09g1w,Toilet
431,/m/09gtd,Toilet paper
432,/m/09gys,Squid
433,/m/09j2d,Clothing
434,/m/09j5n,Footwear
435,/m/09k_b,Lemon
436,/m/09kmb,Spider
437,/m/09kx5,Deer
438,/m/09ld4,Frog
439,/m/09qck,Banana
440,/m/09rvcxw,Rocket
441,/m/09tvcd,Wine glass
442,/m/0b3fp9,Countertop
443,/m/0bh9flk,Tablet computer
444,/m/0bjyj5,Waste container
445,/m/0b_rs,Swimming pool
446,/m/0bt9lr,Dog
447,/m/0bt_c3,Book
448,/m/0bwd_0j,Elephant
449,/m/0by6g,Shark
450,/m/0c06p,Candle
451,/m/0c29q,Leopard
452,/m/0c2jj,Axe
453,/m/0c3m8g,Hand dryer
454,/m/0c3mkw,Soap dispenser
455,/m/0c568,Porcupine
456,/m/0c9ph5,Flower
457,/m/0ccs93,Canary
458,/m/0cd4d,Cheetah
459,/m/0cdl1,Palm tree
460,/m/0cdn1,Hamburger
461,/m/0cffdh,Maple
462,/m/0cgh4,Building
463,/m/0ch_cf,Fish
464,/m/0cjq5,Lobster
465,/m/0cjs7,Asparagus
466,/m/0c_jw,Furniture
467,/m/0cl4p,Hedgehog
468,/m/0cmf2,Airplane
469,/m/0cmx8,Spoon
470,/m/0cn6p,Otter
471,/m/0cnyhnx,Bull
472,/m/0_cp5,Oyster
473,/m/0cqn2,Horizontal bar
474,/m/0crjs,Convenience store
475,/m/0ct4f,Bomb
476,/m/0cvnqh,Bench
477,/m/0cxn2,Ice cream
478,/m/0cydv,Caterpillar
479,/m/0cyf8,Butterfly
480,/m/0cyfs,Parachute
481,/m/0cyhj_,Orange
482,/m/0czz2,Antelope
483,/m/0d20w4,Beaker
484,/m/0d_2m,Moths and butterflies
485,/m/0d4v4,Window
486,/m/0d4w1,Closet
487,/m/0d5gx,Castle
488,/m/0d8zb,Jellyfish
489,/m/0dbvp,Goose
490,/m/0dbzx,Mule
491,/m/0dftk,Swan
492,/m/0dj6p,Peach
493,/m/0djtd,Coconut
494,/m/0dkzw,Seat belt
495,/m/0dq75,Raccoon
496,/m/0_dqb,Chisel
497,/m/0dt3t,Fork
498,/m/0dtln,Lamp
499,/m/0dv5r,Camera
500,/m/0dv77,Squash
501,/m/0dv9c,Racket
502,/m/0dzct,Human face
503,/m/0dzf4,Human arm
504,/m/0f4s2w,Vegetable
505,/m/0f571,Diaper
506,/m/0f6nr,Unicycle
507,/m/0f6wt,Falcon
508,/m/0f8s22,Chime
509,/m/0f9_l,Snail
510,/m/0fbdv,Shellfish
511,/m/0fbw6,Cabbage
512,/m/0fj52s,Carrot
513,/m/0fldg,Mango
514,/m/0fly7,Jeans
515,/m/0fm3zh,Flowerpot
516,/m/0fp6w,Pineapple
517,/m/0fqfqc,Drawer
518,/m/0fqt361,Stool
519,/m/0frqm,Envelope
520,/m/0fszt,Cake
521,/m/0ft9s,Dragonfly
522,/m/0ftb8,Sunflower
523,/m/0fx9l,Microwave oven
524,/m/0fz0h,Honeycomb
525,/m/0gd2v,Marine mammal
526,/m/0gd36,Sea lion
527,/m/0gj37,Ladybug
528,/m/0gjbg72,Shelf
529,/m/0gjkl,Watch
530,/m/0gm28,Candy
531,/m/0grw1,Salad
532,/m/0gv1x,Parrot
533,/m/0gxl3,Handgun
534,/m/0h23m,Sparrow
535,/m/0h2r6,Van
536,/m/0h8jyh6,Grinder
537,/m/0h8kx63,Spice rack
538,/m/0h8l4fh,Light bulb
539,/m/0h8lkj8,Corded phone
540,/m/0h8mhzd,Sports uniform
541,/m/0h8my_4,Tennis racket
542,/m/0h8mzrc,Wall clock
543,/m/0h8n27j,Serving tray
544,/m/0h8n5zk,Kitchen & dining room table
545,/m/0h8n6f9,Dog bed
546,/m/0h8n6ft,Cake stand
547,/m/0h8nm9j,Cat furniture
548,/m/0h8nr_l,Bathroom accessory
549,/m/0h8nsvg,Facial tissue holder
550,/m/0h8ntjv,Pressure cooker
551,/m/0h99cwc,Kitchen appliance
552,/m/0h9mv,Tire
553,/m/0hdln,Ruler
554,/m/0hf58v5,Luggage and bags
555,/m/0hg7b,Microphone
556,/m/0hkxq,Broccoli
557,/m/0hnnb,Umbrella
558,/m/0hnyx,Pastry
559,/m/0hqkz,Grapefruit
560,/m/0j496,Band-aid
561,/m/0jbk,Animal
562,/m/0jg57,Bell pepper
563,/m/0jly1,Turkey
564,/m/0jqgx,Lily
565,/m/0jwn_,Pomegranate
566,/m/0jy4k,Doughnut
567,/m/0jyfg,Glasses
568,/m/0k0pj,Human nose
569,/m/0k1tl,Pen
570,/m/0_k2,Ant
571,/m/0k4j,Car
572,/m/0k5j,Aircraft
573,/m/0k65p,Human hand
574,/m/0km7z,Skunk
575,/m/0kmg4,Teddy bear
576,/m/0kpqd,Watermelon
577,/m/0kpt_,Cantaloupe
578,/m/0ky7b,Dishwasher
579,/m/0l14j_,Flute
580,/m/0l3ms,Balance beam
581,/m/0l515,Sandwich
582,/m/0ll1f78,Shrimp
583,/m/0llzx,Sewing machine
584,/m/0lt4_,Binoculars
585,/m/0m53l,Rays and skates
586,/m/0mcx2,Ipod
587,/m/0mkg,Accordion
588,/m/0mw_6,Willow
589,/m/0n28_,Crab
590,/m/0nl46,Crown
591,/m/0nybt,Seahorse
592,/m/0p833,Perfume
593,/m/0pcr,Alpaca
594,/m/0pg52,Taxi
595,/m/0ph39,Canoe
596,/m/0qjjc,Remote control
597,/m/0qmmr,Wheelchair
598,/m/0wdt60w,Rugby ball
599,/m/0xfy,Armadillo
600,/m/0xzly,Maracas
601,/m/0zvk5,Helmet
